uf,municipality,district,sub_district,tract,urban_rural,place,address_1,address_2,house_number,modifier,complement1,value_1,complement_2,value_2,complement_3,value_3,complement4,value_4,complement_5,value_5,complement_6,value_6,latitude,longitude,borough,nil,landuse_id,landuse_description,multiple,collective_name,block_number,face_number,post_code,code_tract
43,11403,5,0,14,1,RUA,NA,SIMON BOLIVAR,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANTONIO,NA,6,MINI MERCADO,1,NA,15,2,95900000,431140305000014
43,14704,15,0,3,2,ESTRADA,NA,SANTO ANTONIO 2,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARRA DO TAMNDUA,NA,3,CULTIVO DE MILHO,NA,NA,0,0,98470000,431470415000003
41,14203,5,0,30,1,RUA,NA,ANTONIO M MORENO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 CONJUNTOS,NA,6,CASA DE CARNES MENDONCA,1,NA,16,3,86975000,411420305000030
22,608,5,0,1,1,RUA,NA,ANTONIO GOMES,405,NA,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,COMERCIO DE ALIMENTOS E LIMPEZA,1,NA,9,3,64410000,220060805000001
52,5109,5,0,18,1,RUA,NA,ALBERTO MENDES,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STA TEREZINHA,NA,6,SINDICATO DOS EMPREGADOS NO COMERCIO DE,1,NA,11,3,75709500,520510905000018
23,1109,5,0,90,1,RUA,NA,CASTORINA PINTO,1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARZEA DA MATRIZ,NA,6,CASA DE JOGOS DE VIDEO GAME,1,NA,1,3,62800000,230110905000090
33,1702,10,0,28,1,RUA,NA,JABITACA,0,SN,LOTE,46,QUADRA,3,FUNDOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PANTANAL (JD SAO LOURENCO),NA,6,CENTRO DE MACUMBA,1,NA,5,2,25041530,330170210000028
42,5407,5,0,79,1,RUA,MONSENHOR,TOPP,17,NA,SOBRADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,COMITE PARTIDO,1,NA,2,3,88020500,420540705000079
31,37601,5,0,6,1,AVENIDA,NA,GETULIO VARGAS,4907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARZEA,NA,4,ESCOLA JEAN PIAGET,1,NA,11,5,33400000,313760105000006
31,7901,5,0,9,2,CHACARA,NA,ARAUJO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22 28 38.2020 S,46 08 15.4140 O,BAIRRO ARAUJO 1,NA,6,DEPOSITO PARA PRODUTOS DE MORANGO,1,NA,0,0,37610000,310790105000009
31,70107,5,15,2,1,RUA,CORONEL,MANOEL BORGES,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA PRISCILA LOURENCO,1,NA,3,5,38010410,317010705150002
35,37305,5,0,24,1,AVENIDA,NA,ARMANDO SILVA,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RESIDENCIAL FERNANDA,NA,6,SP EMBALAGENS,1,NA,13,3,16300000,353730505000024
32,2207,5,0,8,2,SITIO,NA,MAPECHA,0,NA,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19 59 38.0580 S,40 24 6.3420 O,TIMBUI,NA,3,CULTIVO DE CAFE,NA,NA,0,0,29185000,320220705000008
31,6200,5,63,106,1,RUA,NA,POUSO ALEGRE,2060,NA,LOJA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTA TEREZA,NA,6,MANUTENCAO DE COMPUTADORES SOLUTION PROV,1,NA,1,1,31015104,310620005630106
41,20606,5,0,23,2,ESTRADA,NA,PARANA SEDE,0,SN,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 03 46.7040 S,51 06 52.7940 O,PARANA SEDE,NA,3,PAIOL,NA,NA,0,0,84400000,412060605000023
23,10407,5,0,12,2,ESTRADA,NA,GARROTE A GUARIBAS,11,SUCAM,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 14 4.5480 S,39 30 33.5040 O,OLHO DAGUA,NA,3,CRIACAO DIVERSAS,NA,NA,0,0,62736000,231040705000012
33,4706,5,0,17,1,RUA,NA,PROJETADA,0,SN,OUTROS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANTONIO DE PADUA,NA,6,INDUSTRIA DE CARROCERIA,1,NA,7,1,28470000,330470605000017
43,604,5,4,4,1,ESTRADA,NA,FREDERICO DIHL,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BELA VISTA,NA,6,MAECELLUZ CAR CAPEACAO E PINTURA,1,NA,3,1,94810240,430060405040004
35,23404,5,0,28,1,RUA,NA,FERNANDO LOPES,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTA  CRUZ,NA,6,GALPAO,1,NA,1,5,13250000,352340405000028
31,43302,5,0,18,1,AVENIDA,NA,ALFREDO COUTINHO,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA VAGA,1,NA,12,4,39400039,314330205000018
31,38401,5,0,77,2,SITIO,NA,DO CHICAO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LEOPOLDINA,NA,3,CURRAL,NA,NA,0,0,36700000,313840105000077
21,4909,5,0,4,1,RUA,SENADOR,PATRICIO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ATELIE BIBI MODAS,1,NA,11,4,65255000,210490905000004
35,37602,5,0,83,1,AVENIDA,NA,TOTA,231,NA,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JD DOS PRADOS,NA,6,CELIA CABELEIREIROS,1,NA,11,3,11750000,353760205000083
31,6200,5,65,379,1,RUA,NA,BONFIM,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BONFIM,NA,5,CLINICA D RX,1,NA,3,1,31210150,310620005650379
35,38808,5,0,19,1,AVENIDA,DOUTOR,DOMINGOS TEODORO GALLO,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA DE ROUPAS,1,NA,11,2,18800000,353880805000019
13,300,10,0,10,2,RUA,NA,PEREIRA  BARRONCAS,153,NA,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOVO  CEU,NA,6,BAR FE EM DEUS DOIS IRMAO,2,NA,18,2,69240000,130030010000010
35,9502,5,0,637,1,RUA,NA,JOAO BAPTISTA MASTRANGELO,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JD ANTONIO VON ZUBEN,NA,6,OFICINA MECANICA,1,NA,4,1,13044580,350950205000637
29,17003,5,0,10,2,RUA,NA,DA ESTACAO,23,NA,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CACIMBAS,NA,6,SALAO DO BAIXINHO,1,NA,15,2,48850000,291700305000010
50,6200,5,0,70,2,RODOVIA,NA,BR,8,SITIO,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 45 49.1700 S,53 15 18.2160 O,TEJIM,NA,3,LOTE ASSENTAMENTO,NA,NA,0,0,79750000,500620005000070
35,45704,5,0,15,1,RUA,NA,BENEDITO DE ABREU,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,5,LABORATORIO DE ANALISES CLINICAS,1,NA,9,3,15750000,354570405000015
22,11209,5,0,29,1,RUA,NA,33,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,URUCUI,NA,6,CONSAT DIGITAL COMPUTADORES,1,NA,32,2,64860000,221120905000029
35,50308,32,0,116,1,AVENIDA,NA,COTOVIA,812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOEMA,NA,6,LANCHONETE COTOVIA,1,NA,5,1,4517002,355030832000116
24,7104,5,0,30,1,RUA,NA,JOAO VARELA DOS SANTOS,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAMPO DA SANTA CRUZ,NA,6,DEPOSITO,1,NA,2,5,59280000,240710405000030
22,9005,5,0,10,2,RODOVIA,NA,PI 248,70000,CEPISA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSENTAMENTO CHAPADA DAS FLORES,NA,3,CULTIVO DE FEIJAO,NA,NA,2,1,64835000,220900505000010
35,50308,58,0,216,1,ESTRADA,NA,ENCOSTA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MATA VIRGEM,NA,6,COMERCIO,1,NA,3,2,4474550,355030858000216
52,8707,5,20,8,1,AVENIDA,NA,RIO GRANDE DO SUL,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAMPINAS,NA,6,ESCRITORIO DE CONTABILIDADE,1,NA,7,3,74520070,520870705200008
29,18001,5,0,70,1,RUA,NA,DAS FLORES,68,NA,ANEXO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KM 4,NA,6,MERCEARIA,1,NA,11,2,45200000,291800105000070
24,6502,5,0,12,2,ESTRADA,NA,PARA MACAMBIRA,20,FUNASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06 05 50.0700 S,36 32 21.9360 O,MACAMBIRA,NA,3,SITIO,NA,NA,0,0,59390000,240650205000012
29,7202,5,0,3,1,RUA,NA,A 15,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,MERCADO MUNICIPAL,1,NA,1,2,47300000,290720205000003
35,52205,5,0,354,1,RUA,NA,DOS ITAPORANGUENSES,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPIRANGA,NA,6,CEI 69,1,NA,1,2,18055006,355220505000354
32,2454,5,0,23,2,RODOVIA,NA,BR 262 3 ENTR DEP DOS REST,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARRA DO PONTAL 3 ENT DEP REST,NA,3,LAVOURA,NA,NA,0,0,29395000,320245405000023
29,21500,5,0,40,2,ENTRADA,NA,PARA O CACUCAR,2040,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 17 22.0680 S,39 28 30.4080 O,FAZENDA CACUCAR,NA,3,CULTIVO DE FEIJAO E MILHO,NA,NA,0,0,48800000,292150005000040
43,14902,5,0,1579,1,RUA,NA,MARCELO GAMA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAO JOAO,NA,6,PETI,1,NA,1,4,90540040,431490205001579
35,50605,17,0,2,1,RUA,NA,LUIZ MATHEUS MAILASQUE,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAILASQUE,NA,6,UNIDADE DE SAUDE,1,NA,5,4,18143140,355060517000002
26,9600,5,0,245,1,RUA,CORONEL,JOAO MANGUINHOS,622,NA,OUTROS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAIRRO NOVO,NA,6,ESTACIONAMENTO IMACULADO,1,NA,4,2,53030070,260960005000245
35,43402,5,0,455,1,RUA,NA,ONZE DE AGOSTO,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAMPOS ELISEOS,NA,6,VAGO,1,NA,9,2,14085030,354340205000455
33,5703,5,0,1,1,RUA,NA,DEZ DE JUNHO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUMIDOURO,NA,6,TREILER CALDO DE CANA,1,NA,2,1,28637000,330570305000001
35,3505,5,0,1,1,RUA,NA,TEODORICO RIBEIRO COUTINHO,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,DELEGACIA DE AREIAS,1,NA,4,3,12820000,350350505000001
35,34708,5,0,160,1,RUA,NA,LAZARO LUCIO DE CARVALHO,826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DISTRITO IDUSTRIAL ORIENTE MORI,NA,6,COMERCIO DE ARTEFATOS DE CIMENTO,1,NA,2,4,19913520,353470805000160
29,27408,5,11,8,1,RUA,NA,NILO PECANHA,0,SN,ANDAR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CALCADA,NA,6,RESTAURANTE,1,NA,9,3,40411380,292740805110008
31,7208,10,0,1,1,RUA,NA,ANTONIO JOSE DINIZ,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRANTAO,NA,6,SERRARIA E MARCENARIA,1,NA,7,3,37340000,310720810000001
35,53609,5,0,4,1,RUA,NA,OSORIO MACIEL DE FARIA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,CENTRAL E TORRE DA TELEFONICA,1,NA,4,4,13760000,355360905000004
25,1203,5,0,1,1,RUA,SAO,JOSE,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,SALAO VAGO,1,NA,1,1,58140000,250120305000001
35,31902,5,0,36,2,FAZENDA,NA,DELY,0,SN,FAZENDA,DELY,SEDE,1,NA,NA,NA,NA,NA,NA,NA,NA,20 47 31.2240 S,48 09 46.3200 O,DELY,NA,3,ESTABELECIMENTO AGROPECUARIO,NA,NA,0,0,14640000,353190205000036
25,11202,5,0,22,2,SITIO,NA,CAMACARI,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07 24 6.3660 S,34 58 3.7740 O,CAMACARI,NA,3,CHACARA,NA,NA,0,0,58328000,251120205000022
31,19203,5,0,11,1,RUA,NA,SEBASTIAO JURDELINO,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,SERRALHERIA,1,NA,3,1,39710000,311920305000011
31,41108,5,0,1,1,PRACA,NA,BOM JESUS,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,SAPATARIA,1,NA,1,1,35720000,314110805000001
35,50308,4,0,57,1,RUA,NA,DO ALTO URUGUAI,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM IVA,NA,6,METALURGICA,1,NA,4,3,3905040,355030804000057
51,3106,5,0,7,2,FAZENDA,NA,TREIS PODERES  CASA GERENTE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 45 4.9380 S,51 10 19.3680 O,A 60KM MARGEM DIREITA MT 326,NA,3,FAZENDA,NA,NA,0,0,78680000,510310605000007
28,209,5,0,25,2,RODOVIA,NA,AQUIDABA GRACCO CARDOSO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POV MOITA REDONDA,NA,3,PLANTACAO DE ABACAXI,NA,NA,12,1,49790000,280020905000025
51,6828,5,0,10,2,RUA,NA,RODOVIA BR 174,0,SN,SITIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 40 38.6400 S,58 57 32.9880 O,CORREGO LAJE GRANDE,NA,3,SITIO CRISPUR,NA,NA,0,0,78240000,510682805000010
43,13508,5,0,71,1,RUA,NA,PASSINHOS,792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAIRRO MEDIANEIRA,NA,6,OFICINA DE PINTURA DE AUTOMOVEIS,1,NA,7,3,95520000,431350805000071
35,49805,5,0,2,1,RUA,CORONEL,SPINOLA DE CASTRO,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,OFICINA DE SAO JOSE,1,NA,8,3,15015080,354980505000002
31,9105,5,0,20,2,BAIRRO,NA,CACHOEIRA DOS FELIX,0,SN,CASA,2,SITIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,22 29 4.8360 S,46 23 35.0280 O,BUENO BRANDAO,NA,3,SITIO DO TONHO DO LUIZ GENICO,NA,NA,0,0,37578000,310910505000020
41,4808,5,0,26,1,RUA,NA,MANOEL RIBAS,3856,NA,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CANCELLI,NA,6,FABRICA DE BRINQUEDOS,1,NA,8,4,85811130,410480805000026
29,18407,5,0,61,1,RUA,NA,LINHA DO TREM,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DISTRITO INDUSTRIAL,NA,6,BIOFABRICA DE MOSCAS OSCAMED,1,NA,1,2,48900000,291840705000061
31,28709,5,0,44,1,RUA,NA,OLIVEIRA,245,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GUAXUPE,NA,6,MERCEARIA PIZA,1,NA,8,1,37800000,312870905000044
35,48807,5,0,44,1,RUA,ENGENHEIRO,CAJADO DE LEMOS,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CERAMICA,NA,6,LANCHONETE,1,NA,6,1,9530320,354880705000044
35,50308,23,0,137,1,RUA,NA,MANUEL DE TEFFE,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JD SATELITE,NA,6,TORRE DE TELEFONIA,1,NA,4,5,4815300,355030823000137
35,24006,5,0,11,1,RODOVIA,PREFEITO,HERMENEGILDO TONOLI,65,KM,PAVILHAO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CON INDUSTRIAL,NA,6,BORRACHARIA E MECANICA DE AUTO,1,NA,2,1,13295000,352400605000011
33,5505,10,0,1,1,RUA,CAPITAO,NUNES,90,NA,LOJA,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAQUAREMA,NA,6,BARBEARIA,1,NA,2,6,28990000,330550510000001
29,25501,10,0,5,2,RUA,NA,ESTRADA PARA CURUMBAU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESTRADA PARA CORUMBAU,NA,6,BABIDAS EM GERAL,1,NA,0,0,45980000,292550110000005
26,54,5,0,6,1,AVENIDA,DUQUE,DE CAXIAS,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ESCRITORIO DE CONTABILIDADE,1,NA,9,10,53580020,260005405000006
43,14902,5,0,1368,1,AVENIDA,NA,SAO PAULO,441,NA,LOJA,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAO GERALDO,NA,6,VIDRACARIA PRESIDENTE,1,NA,4,2,90230160,431490205001368
27,1357,5,0,2,1,RUA,NA,TANCREDO DE ALMEIDA NEVES,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,QUADRA POLIESPOTIA,1,NA,9,3,57968000,270135705000002
29,21500,5,0,70,2,RUA,NA,DO SENHOR DEMIR,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JENIPAPO DE BAIXO,NA,3,CRIACAO DE ANIMAIS,NA,NA,10,4,48800000,292150005000070
41,18402,5,0,16,1,AVENIDA,DEPUTADO,HEITOR ALENCAR FURTADO,6383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JD SANTOS DUMONT,NA,6,VENDA DE PECAS PARA CARRO,1,NA,6,3,87706000,411840205000016
35,47809,8,0,98,1,AVENIDA,NA,AYRTON SENNA DA SILVA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM ALZIRA FRANCO,NA,6,PONTO COMERCIAL,2,NA,6,4,9272000,354780908000098
32,1704,5,0,14,2,CORREGO,NA,VICOSA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VICOSA,NA,3,AGRICULTURA DE CAFE,NA,NA,0,0,29370000,320170405000014
43,17608,5,0,3,1,RUA,NA,SANTO ANTONIO,135,NA,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,VAREJO,1,NA,1,3,95500000,431760805000003
43,10876,5,0,2,2,ESTRADA,NA,DOS PINTOS E RODRIGES,0,SN,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29 02 30.1560 S,53 06 48.9660 O,ALAGADOS,NA,3,GRANJA SANTA INOCENCIA,NA,NA,0,0,99457000,431087605000002
31,57807,5,0,19,1,AVENIDA,NA,RAUL TEIXEIRA DA COSTA SOBRINHO,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,BAR,1,NA,5,3,33010360,315780705000019
43,9605,5,0,15,1,AVENIDA,NA,DAHNE DE ABREU,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VILA PANORAMA,NA,6,AS MOVEIS MOVEIS SOB MEDIDA,2,NA,6,2,98920000,430960505000015
35,43402,5,0,745,1,RUA,NA,MONTE AZUL,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM SALGADO FILHO,NA,6,IGREJA PENTECOSTAL DEUS E AMOR,1,NA,5,4,14078170,354340205000745
35,1509,5,0,7,2,ESTRADA,NA,ACESSO A AVL 251,0,SN,BARRACAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22 26 22.1340 S,49 42 29.2500 O,JAUZINHO,NA,6,BARRACAO,1,NA,0,0,17430000,350150905000007
51,6299,5,0,15,2,RODOVIA,NA,MT 206,0,SN,SITIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 43 14.9280 S,56 29 21.1800 O,PARANAITA,NA,3,CRIACAO DE BOVINOS,NA,NA,0,0,78590000,510629905000015
31,46404,5,0,1,1,RUA,DEPUTADO,EDUARDO LUCAS,546,NA,TERREO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA VAGA,1,NA,25,5,35622000,314640405000001
13,2603,5,12,583,1,RUA,NA,H,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIDADE DE DEUS,NA,6,MERCADINHO,1,NA,2,12,69099000,130260305120583
52,1405,5,0,10,1,AVENIDA,NA,SANTANA,0,SN,QUADRA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CONJUNTO PLANICIE,NA,6,ALDY CABELELEIROS,1,NA,7,3,74000000,520140505000010
29,7103,5,0,17,2,FAZENDA,NA,MICAELA,10,FNS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14 09 23.0700 S,43 41 21.7140 O,MICAELA,NA,6,DEPOSITO DE FERRAMENTAS,1,NA,0,0,46445000,290710305000017
31,906,5,0,7,1,RUA,NA,JOSE ALEXANDRINO DE SOUZA,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAO VICENTE,NA,6,LOJA DE ROUPAS FEMININAS,1,NA,2,3,39880000,310090605000007
51,8808,5,0,4,2,RUA,NA,COM SERRA NEGRA SENT BOM SUCES,0,SN,SITIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 13 24.6600 S,55 23 36.1320 O,COM SERRA NEGRA,NA,3,CRIACAO DE GADO LEITEIRO,NA,NA,0,0,78508000,510880805000004
21,11300,5,0,1057,1,RUA,NA,DOS IPES,199,SMS,LADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PONTAL DA ILHA,NA,6,PONTO COMERCIAL PARA ALGUEL,1,NA,12,3,65000000,211130005001057
51,5606,5,0,22,2,LINHA,NA,2,2,KM,LOTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 08 4.5900 S,54 22 56.2380 O,PADOVANI,NA,3,PRODUCAO  DE  LEITE,NA,NA,0,0,78525000,510560605000022
35,37909,5,0,46,2,SITIO,NA,CARLOS MAEDA,0,NA,CASA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23 50 54.0060 S,47 45 57.6960 O,MAEDA,NA,6,BARRACAO,1,NA,0,0,18185000,353790905000046
31,5905,5,0,17,1,RUA,NA,PIAUI,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BANDEIRANTE,NA,6,FABRICA MOVEIS,1,NA,1,1,36212000,310590505000017
31,58201,10,0,3,2,ESTRADA,NA,PILAOZINHO,72,FUNASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 15 46.1100 S,42 20 42.9900 O,PILAOZINHO,NA,3,CRIACAO DE BOIS,NA,NA,0,0,39780000,315820110000003
35,38808,5,0,39,1,AVENIDA,VEREADOR,EDUARDO CASSANHO,535,NA,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARQUE RESIDENCIAL ELDORADO,NA,6,RESTAURANTE,1,NA,8,1,18800000,353880805000039
26,1102,5,0,4,1,RUA,NA,JOSE SANTIAGO BRINGEL,0,SN,TERREO,NA,LOJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA DE VENDAS DE CELULARES,1,NA,20,2,56280000,260110205000004
31,14402,5,0,1,1,RUA,NA,JOSE MONTEIRO DOS SANTOS,185,NA,TERREO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ANA JUSTINA COSTURAS,1,NA,5,6,37150000,311440205000001
51,6422,5,0,38,2,ESTRADA,NA,JARINA,0,SN,BARRACAO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 24 35.4060 S,53 31 2.4900 O,PEIXOTO DE AZEDO,NA,6,POSTO DE ABASTEIMENTO JURUNA,1,NA,0,0,78530000,510642205000038
26,13701,5,0,24,1,RUA,NA,ISAC SALAZAR,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PENEDO,NA,6,IGREJA,1,NA,2,8,54715000,261370105000024
42,9102,5,0,247,1,RUA,NA,BRASIL,710,NA,CASA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAGUACU,NA,6,RAMOS PROJETOS,1,NA,2,3,89221561,420910205000247
50,2704,5,9,38,1,AVENIDA,ENGENHEIRO,AMELIO CARVALHO BAIS,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VILA ALMEIDA,NA,6,BORRACHARIA,1,NA,4,1,79112380,500270405090038
